SUBJECT OF PICTURE,Description,Zone - e.g. Watershed,Classification (Healthy / Unhealthy / It Depends),Source link 1 - Image File Name,"Image source (e.g., TERC-owned or source URL)",Anything else/Comments,,Notes:
Crayfish,Unhealthy: Non-native crayfish populations have increased and compete with native species for resources,Lake Bottom,Unhealthy,TERC_crayfish_6.JPG,TERC-owned, ,,Descriptions ARE case-sensitive and white-space sensitive
Sandy shallow waters,Healthy: Sandy nearshore habitat is found in some regions around the lake,Lake Bottom,Healthy,TERC_Sandy substrate 1.JPG,TERC-owned,"I think I don't understand the lesson behind this one. Can sandy nearshore be a problem? It is just that there can be different types of substrates... either sandy, rocky, vegetated...",,Make sure the URL points to an actual IMAGE file
Attached algae on rocks,"It Depends: Algae can be a natural part of the ecosystem, but excessive algae can be an indicator of nutrient pollution into the water",Lake Bottom,It Depends,TERC_Brant Allen Sampling Periphyton at Pineland.jpg,TERC-owned,"Can we say more about why it depends? E.g., algae can be a natural part of a lake system, but can also indicate fertilizer pollution",,"Zone can be - Watershed, Nearshore, Open Water, Lake Bottom"
Attached algae on rocks,"It Depends: Algae can be a natural part of the ecosystem, but excessive algae can be an indicator of nutrient pollution into the water",Lake Bottom,It Depends,TERC_Burnt Cedar Beach April 2009_Jen Schmidt.jpg,TERC-owned,,,
Invasive clam shells under the water,"Unhealthy: Non-native Asian clams are increasing in population, spreading to other areas around the lake, and resulting in unsightly and unhealthy algal blooms",Lake Bottom,Unhealthy,TERC_AsianClamsWithZygnimaElkPoint2008.JPG,TERC-owned,,,
Rocky shallow waters,Healthy: In some parts of the lake the bottom is rocky,Lake Bottom,Healthy,TERC_NearshoreRocks.jpg,TERC-owned,,,
Sediment at bottom of the lake,Healthy: In the deeper portions of the lake the bottom is mostly sediment that has been accumulating since the lake was first formed,Lake Bottom,Healthy,,,,,
Boat wreck at bottom of the lake,"It Depends: Boat wrecks can provide habitat for fish and other species However, pollutants such as gasoline, can leach into the water as materials on the boat begin to break down",Lake Bottom,It Depends,Fifi_shipwreck_wikicommons.jpg,http://upload.wikimedia.org/wikipedia/commons/4/4d/Fifi_shipwreck.jpg,http://upload.wikimedia.org/wikipedia/commons/4/4d/Fifi_shipwreck.jpg,,
Decomposed granite,"Healthy: In some areas, decomposed granite (granite rock broken down for construction purposes) is found on the lake bottom",Lake Bottom,Healthy,TERC_DecomposedGraniteLakeBottom.jpg,TERC-owned,,,
Macroinvertebrates,"Healthy: Small ""bugs"" found in the sediment are an important part of the food web",Lake Bottom,Healthy,MayflyLarva_Flickr,https://www.flickr.com/photos/quinet/45474721/,https://www.flickr.com/photos/quinet/45474721/,,
Mysis shrimp on lake bottom,It Depends: Mysis shrimp are non-native and have eaten many of the native zooplankton in Lake Tahoe,Lake Bottom,It Depends,Mysis shrimp in water.jpg,requesting permission http://www.castanet.net/content/1254266912sis.jpg,Comment on why 'it depends'?,,
Clam mats on lake bottom,Rubber mats have been put on the bottom of the lake to manage the non-native Asian clam populations,Lake Bottom,It Depends,TERC_ClamBarrier.JPG,TERC-owned,https://www.flickr.com/photos/usfwsmtnprairie/13390718794/in/photolist-6VTFes-dcnzwn-7cLhcH-3DzmA4-8FUdhU-2PqJAz-4fZpyB-7b8vQm-e3tSMd-78CFRY-iRbDRC-2PvaWf-m2aWm-6FXAfb-cwuScE-ihDBKW-8vSbn4-fyqY25-ihCVy3-GUbXt-atQjrp-4QHmCh-ftnb6A-8oKe9R-mphWaY-64ELzT-88X28H-4JMLk6-cjqzYs-8NP7Uf-8Zw2ud-pXutK-mCsYER-cnKepu-cnKbLJ-9fc1ir-m2bd1-8E7WSJ-atSZ1E-atQs6x-m2axs-6et9ZA-891eSj-Bs6y4-5hRkaW-891fn3-891fUG-9LJweC-DSoYe-DSoYp,,
